"MatchType","Ctype","Desc","CrimeCat"
"cd","ROBBERY","ATTEMPTED_ROBBERY_KNIFE","ROBBERY_ATTEMPTED"
"cd","ROBBERY","ATTEMPTED_ROBBERY_OTHER_DANGEROUS_WEAPON","ROBBERY_ATTEMPTED"
"cd","ROBBERY","ATTEMPTED_ROBBERY_STRONG_ARM","ROBBERY_ATTEMPTED"
"d"," ","ROBBERY_FIREARM","ROBBERY_FIREARM"
"cd","ROBBERY","ROBBERY_FIREARM","ROBBERY_FIREARM"
"d",,"ROBBERY_INHABITED_DWELLING___FIREARM","ROBBERY_INHABITED-DWELLING"
"cd","ROBBERY","ROBBERY_INHABITED_DWELLING___FIREARM","ROBBERY_INHABITED-DWELLING"
"cd","ROBBERY","ROBBERY_INHABITED_DWELLING___OTHER_DANGEROUS_INSTRUMENT","ROBBERY_INHABITED-DWELLING"
"cd","ROBBERY","ROBBERY_INHABITED_DWELLING___STRONGARM__HANDS__FISTS__FEET_","ROBBERY_INHABITED-DWELLING"
"cd","ROBBERY","ROBBERY_KNIFE_OR_CUTTING_INSTRUMENT","ROBBERY_KNIFE"
"cd","ROBBERY","ROBBERY_OTHER_DANGEROUS_WEAPON","ROBBERY_OTHER-WEAPON"
"d"," ","ROBBERY___STRONG_ARM__HANDS__FISTS__FEET__ETC__","ROBBERY_STRONG-ARM"
"cd","ROBBERY","ROBBERY___STRONG_ARM__HANDS__FISTS__FEET__ETC__","ROBBERY_STRONG-ARM"
"cd","ROBBERY","SC_ROBBERY___HANDS__FISTS__FEET__ETC____AGGRAVATED","ROBBERY_STRONG-ARM"
"d"," ","INDECENT_EXPOSURE","SEX_OTHER"
"d",,"CONTRIBUTE_TO_THE_DELINQUENCY_OF_A_MINOR","SEX_OTHER"
"d",,"LEWD_OR_LASCIVIOUS_ACTS_W_CHILD_UNDER_14_YEARS","SEX_OTHER"
"d",,"PANDERING","SEX_OTHER"
"d",,"PIMPING","SEX_OTHER"
"d",,"SEX_OFFENSES","SEX_OTHER"
"d",,"SEXUAL_PENETRATION_W_FOREIGN_OBJECT_W_FORCE","SEX_OTHER"
"c","OTHER_SEX_OFFENSES",,"SEX_OTHER"
"d"," ","SUPV_ETC_PROSTITUTION","SEX_PROSTITUTION"
"c","PROSTITUTION"," ","SEX_PROSTITUTION"
"cd","SEX_CRIMES","DISORDERLY_CONDUCT_PROSTITUTION","SEX_PROSTITUTION"
"cd","SEX_CRIMES","LOITER_INTENT_PROSTITUTION","SEX_PROSTITUTION"
"d"," ","DUI_ALCOHOL_DRUGS","TRAFFIC_DUI"
"c","DUI",,"TRAFFIC_DUI"
"d"," ","UNLICENSED_DRIVER","TRAFFIC_MISDEMEANOR"
"c","MISCELLANEOUS_TRAFFIC_CRIME",,"TRAFFIC_OTHER"
"c","TOWED_VEHICLE"," ","TRAFFIC_TOWED-VEHICLE"
"d"," ","VANDALISM","VANDALISM"
"c","VANDALISM"," ","VANDALISM"
"d"," ","POSSESSION_OF_A_MACHINE_GUN","WEAPONS"
"d"," ","PROHIBITED_POSSESS_AMMUNITION_OR_RELOADED_AMMUNITION","WEAPONS"
"d"," ","SHOOT_AT_UNOCCUPIED_DWELLING_VEHICLE_ETC","WEAPONS"
"d"," ","WILLFUL_DISCHARGE_FIREARM_IN_NEGLIGENT_MANNER","WEAPONS"
"c","WEAPONS"," ","WEAPONS"
"cd","FELONY_ASSAULT","ANYONE_WHO_WILLFULLY_DISCHARGES_A_FIREARM_IN_A_GROSSLY_NEGLIGENT_MANNER","WEAPONS"
"cd","WEAPONS","CARRY_CONCEALED_WEAPON_IN_VEHICLE","WEAPONS"
"cd","WEAPONS","WILLFUL_DISCHARGE_FIREARM_IN_NEGLIGENT_MANNER","WEAPONS"
